company_id,type,rule_id,text,confidence_pct
ATGL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82.2
ATGL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,75.8
ATGL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73.4
ATGL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,70.5
AXISBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,87.2
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
AXISBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.5
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84.5
BAJAJ-AUTO,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65.9
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
BAJAJ-AUTO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,82.7
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,74.0
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,68.7
BAJAJFINSV,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
BAJAJFINSV,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,76.8
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.1
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,81.9
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81.2
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,76.4
BAJAJFINSV,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,75.6
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73.3
BAJAJHLDNG,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86.4
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJHLDNG,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,81.0
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.8
BAJAJHLDNG,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77.9
BAJFINANCE,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,98.0
BAJFINANCE,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
BAJFINANCE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,81.9
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.1
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.7
BAJFINANCE,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,84.0
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79.9
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,76.4
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
BANKBARODA,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86.5
BANKBARODA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,93.5
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.7
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.0
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BEL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.1
BHARTIARTL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,76.1
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BHARTIARTL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BHARTIARTL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,97.5
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,99.2
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,88.6
BHEL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,67.7
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
BOSCHLTD,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,87.8
BOSCHLTD,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72.7
BPCL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BPCL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,96.1
BPCL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
BPCL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,78.7
BPCL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,71.4
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BRITANNIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.6
BRITANNIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78.1
CANBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
CANBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
CANBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,85.5
CANBK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
CANBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
CANBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,96.7
CANBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.1
CANBK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,84.5
CANBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.4
CHOLAFIN,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
CHOLAFIN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,84.5
CHOLAFIN,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,79.8
CHOLAFIN,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,67.9
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.6
CHOLAFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83.9
CHOLAFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,81.2
CHOLAFIN,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,75.0
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.7
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.3
CIPLA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,79.0
CIPLA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
CIPLA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.3
CIPLA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
CIPLA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83.7
CIPLA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
CIPLA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,74.1
COALINDIA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
COALINDIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
COALINDIA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
COALINDIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,92.1
COALINDIA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
COALINDIA,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,89.0
COALINDIA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,73.7
COALINDIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,71.2
DABUR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65.2
DABUR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
DABUR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,83.2
DABUR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,81.4
DIVISLAB,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
DIVISLAB,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80.0
DIVISLAB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DIVISLAB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
DIVISLAB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.8
DLF,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,100.0
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.6
DLF,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
DLF,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
DLF,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.1
DLF,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,76.1
DLF,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,74.6
DMART,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DMART,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85.5
DMART,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,81.0
DMART,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
DMART,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,74.5
DMART,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72.5
DRREDDY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DRREDDY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,98.5
DRREDDY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,97.3
DRREDDY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
DRREDDY,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,87.7
DRREDDY,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,75.1
DRREDDY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,75.0
EICHERMOT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65.2
EICHERMOT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
EICHERMOT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
EICHERMOT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
EICHERMOT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,89.3
EICHERMOT,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.8
EICHERMOT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.9
GAIL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,67.1
GAIL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,83.6
GODREJCP,con,CON_04,Company reported a net loss in the most recent financial year,95.0
GRASIM,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80.0
GRASIM,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.4
GRASIM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
GRASIM,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.5
GRASIM,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,84.0
HAL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.1
HAL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
HAL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HAL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
HAL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93.3
HAL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80.6
HAL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,79.7
HAL,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,76.2
HAVELLS,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.4
HAVELLS,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,74.8
HCLTECH,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.8
HCLTECH,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HCLTECH,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
HCLTECH,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,73.8
HCLTECH,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,69.7
HDFCBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.3
HDFCBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,76.5
HDFCBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HDFCBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,88.6
HDFCBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83.9
HDFCBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,75.8
HDFCBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70.8
HDFCBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.7
HDFCLIFE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HDFCLIFE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HDFCLIFE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82.3
HDFCLIFE,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,73.9
HEROMOTOCO,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,78.5
HEROMOTOCO,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,76.3
HEROMOTOCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HEROMOTOCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HEROMOTOCO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,90.8
HEROMOTOCO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
HINDALCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HINDALCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HINDALCO,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
HINDALCO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72.4
HINDUNILVR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65.1
HINDUNILVR,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HINDUNILVR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HINDUNILVR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
HINDUNILVR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,88.6
HINDUNILVR,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.9
ICICIBANK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
ICICIBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ICICIBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,79.3
ICICIBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,78.0
ICICIBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ICICIBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ICICIBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ICICIBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,81.4
ICICIBANK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.7
ICICIBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.5
ICICIGI,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,90.0
ICICIGI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIGI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ICICIGI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ICICIGI,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,81.7
ICICIPRULI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIPRULI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91.0
ICICIPRULI,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73.7
INDIGO,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
INDIGO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
INDIGO,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
INDIGO,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
INDIGO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
INDIGO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
INDIGO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
INDIGO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,88.2
INDIGO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,82.6
INDIGO,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78.6
INDUSINDBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
INDUSINDBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95.8
INDUSINDBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,84.3
INDUSINDBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.3
INDUSINDBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,84.7
INDUSINDBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,83.3
INDUSINDBK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.1
INDUSINDBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71.8
INDUSINDBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.0
INFY,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,73.7
